32297, 460, 70.2108695652174
37057, 400, 92.6425
13131, 730, 17.987671232876714
19564, 735, 26.61768707482993
8729, 407, 21.447174447174447
34145, 876, 38.97831050228311
14962, 587, 25.48892674616695
10597, 628, 16.87420382165605
17392, 502, 34.645418326693225
8547, 419, 20.39856801909308
9604, 487, 19.720739219712527
16732, 691, 24.214182344428366
20634, 409, 50.44987775061125
26151, 554, 47.20397111913358
29449, 777, 37.9009009009009
19568, 414, 47.265700483091784
161252, 478, 337.34728033472805
74934, 467, 160.45824411134905
8118, 565, 14.368141592920354
22578, 478, 47.23430962343096
14400, 713, 20.196353436185134
21906, 422, 51.90995260663507
43929, 477, 92.09433962264151
187105, 581, 322.039586919105
245285, 869, 282.26121979286535
19198, 756, 25.394179894179896
9375, 418, 22.428229665071772
1406, 413, 3.404358353510896
23401, 532, 43.98684210526316
139668, 727, 192.1155433287483
17062, 676, 25.2396449704142
7726, 519, 14.886319845857418
12487, 408, 30.605392156862745
67761, 694, 97.63832853025937
10456, 766, 13.650130548302872
47351, 631, 75.04120443740095
55658, 497, 111.98792756539235
80261, 704, 114.00710227272727
12929, 431, 29.99767981438515
23805, 583, 40.83190394511149
82910, 450, 184.24444444444444
32317, 592, 54.589527027027025
34869, 586, 59.503412969283275
59779, 502, 119.08167330677291
95203, 719, 132.41029207232268
27088, 542, 49.97785977859779
37144, 706, 52.611898016997166
36989, 764, 48.41492146596859
10925, 407, 26.84275184275184
29676, 570, 52.06315789473684
21720, 578, 37.57785467128028
11545, 695, 16.611510791366907
47671, 458, 104.08515283842794
34707, 684, 50.74122807017544
55834, 812, 68.76108374384236
12250, 647, 18.93353941267388
40404, 409, 98.78728606356968
29957, 497, 60.27565392354125
25276, 415, 60.90602409638554
8223, 405, 20.303703703703704
141617, 775, 182.7316129032258
28264, 609, 46.410509031198686
4916, 428, 11.485981308411215
27503, 589, 46.69439728353141
16491, 636, 25.92924528301887
17786, 445, 39.9685393258427
29450, 694, 42.435158501440924
15378, 644, 23.87888198757764
28886, 404, 71.5
22232, 458, 48.54148471615721
19593, 424, 46.20990566037736
10778, 455, 23.68791208791209
27134, 416, 65.22596153846153
15443, 404, 38.225247524752476
48773, 587, 83.0885860306644
51137, 724, 70.63121546961327
20747, 810, 25.613580246913582
10253, 423, 24.238770685579198
9878, 677, 14.590841949778435
19198, 607, 31.627677100494235
12678, 467, 27.14775160599572
28065, 920, 30.505434782608695
